24.69,29.34,17,88,1009,0.51,0,0,86,1008.5
25,28.94,78,83,1008,1.01,86,0.32,270,1008.428571
24.69,29.34,17,88,1009,0.51,0,0,320,1008.411765
29.85,34.12,17,65,1010,1.03,0,0,300,1009.47619
32.89,34.65,17,46,1008,2.57,0,0,200,1010.166667
29.83,34.78,17,83,1006,3.6,270,0,360,1010.190476
28,32.12,17,74,1008,1.54,0,0,330,1010.4
26.18,27.82,17,73,1010,3.6,60,0,230,1009.875
25,29.4,17,88,1008,1.1,91,0,350,1009.782609
23.94,27.63,17,88,1008,1.32,91,0,290,1010.190476
26.02,29.49,17,74,1010,1.03,0,0,330,1009.875
26.83,30.7,17,74,1010,1.03,0,0,350,1009.333333
30,34.85,17,66,1010,0.51,0,0,353,1009
31.83,36.09,17,58,1010,1.03,0,0,350,1009.5
31.83,32.74,17,48,1009,3.6,190,0,323,1010.826087
33.94,34.55,17,43,1008,4.12,210,0,358,1010.73913
32.89,34.78,78,49,1006,3.09,180,0.11,356,1010.73913
31.83,33.93,17,51,1006,2.57,220,0,330,1011.391304
31.83,32.74,17,48,1006,3.6,180,0,350,1011.375
30.78,31.62,17,48,1007,3.09,180,0,360,1011.391304
30,33.02,17,58,1008,1.54,170,0,310,1011
29,33.21,17,65,1008,0.51,0,0,310,1011.045455
27.89,32.38,17,74,1009,0.93,47,0,280,1010.521739
28,32.98,17,78,1010,1.03,0,0,240,1009.5
26.79,30.38,17,78,1009,2.06,320,0,360,1011.166667
26.02,31.14,17,89,1009,1.05,83,0,340,1009.636364
25.87,30.92,17,89,1009,1.03,0,0,300,1008.590909
26.83,32.11,17,83,1011,0.51,0,0,310,1008.782609
30,34.13,17,66,1011,1.54,0,0,330,1009.608696
31,35.08,17,62,1011,1.54,0,0,340,1010.826087
32.24,36.35,17,58,1010,1.54,0,0,330,1011.409091
32.89,36.49,17,55,1009,2.06,300,0,310,1011.043478
33.31,37.27,78,58,1009,2.57,0,0.16,330,1009.545455
32.89,36.26,17,58,1007,3.09,250,0,310,1009.909091
32.89,36.2,17,62,1007,4.12,260,0,320,1010.565217
30.78,34.83,78,70,1007,3.09,260,0.2,220,1011.15
27.89,31.23,17,74,1008,2.57,70,0,240,1011.227273
26.95,29.58,17,69,1009,2.06,60,0,310,1010.818182
25.67,29.93,86,78,1009,0.28,60,2.37,260,1010.409091
26.04,29.52,17,74,1010,1.03,0,0,320,1010.173913
26.04,29.16,17,74,1011,1.54,90,0,360,1009.318182
26.64,30.88,17,78,1011,1.03,0,0,350,1008.916667
26.48,28.89,17,69,1011,2.06,70,0,350,1008.083333
25.57,27.57,17,69,1010,2.06,70,0,340,1008.217391
25.27,27.5,17,69,1009,1.54,70,0,360,1008.347826
25.57,28.29,17,69,1010,1.03,0,0,360,1009.478261
25.57,28.29,17,69,1010,1.03,0,0,350,1011.086957
25.33,27.16,17,65,1010,1.54,90,0,350,1010.227273
26.02,28.5,17,65,1011,1.03,0,0,290,1011.095238
25.78,28.59,78,69,1012,1.03,0,0.34,260,1010.363636
27.89,29.85,78,57,1012,1.54,80,0.75,350,1010.217391
28.94,30.59,17,54,1012,2.06,60,0,340,1011.190476
30.78,33.14,17,51,1012,1.54,0,0,300,1012.181818
30,32.09,17,54,1011,2.06,0,0,300,1011.227273
30.78,32.78,17,51,1010,2.06,80,0,320,1011.086957
31.83,34.19,17,48,1009,1.54,0,0,350,1010.727273
31,32.74,17,51,1008,2.57,0,0,270,1010.818182
30.15,32.67,17,54,1008,1.54,80,0,350,1012.272727
28.31,30.38,40,65,1009,3.09,200,0,310,1010.956522
27.25,30.26,78,74,1009,2.57,190,0.75,250,1009.318182
27,30.6,17,74,1010,1.54,0,0,320,1008.952381
26.83,29.3,17,65,1010,1.54,140,0,360,1008.956522
26.83,29.66,17,65,1011,1.03,0,0,360,1008.55
26.62,29,17,65,1011,1.54,80,0,300,1008.458333
25.72,28.5,17,69,1011,1.03,0,0,340,1007.863636
25,27.89,17,73,1011,1.03,0,0,309,1007.043478
24.7,26.69,17,69,1010,1.54,0,0,300,1007.714286
24.55,27.16,17,73,1009,1.14,80,0,330,1009
24.85,28.03,17,73,1009,0.51,0,0,360,1009.454545
23.63,27.03,17,83,1009,0.82,77,0,360,1008.869565
23.93,26.84,17,78,1010,1.03,0,0,347,1008.263158
24.38,27.49,17,78,1011,1.03,0,0,330,1007.916667
26.63,29.11,17,69,1011,2.06,170,0,210,1008.047619
27.89,30.35,17,61,1012,1.54,0,0,350,1007.478261
30.76,32.83,17,54,1011,2.57,70,0,310,1008.333333
30.78,32.78,17,51,1011,2.06,60,0,320,1006.521739
30.78,31.98,17,48,1010,2.57,0,0,360,1006.409091
31.83,33.36,17,45,1009,2.06,0,0,349,1006.833333
31.47,34.13,40,51,1008,1.54,360,0,350,1007.227273
30.3,33.81,17,58,1008,1.03,0,0,330,1007.695652
29.08,32.08,17,61,1008,1.54,30,0,352,1008.565217
27,30.48,78,73,1009,1.54,130,0.56,353,1009.25
26.47,30.83,78,83,1010,1.54,0,0.44,352,1009.954545
25.91,30.97,40,88,1010,0.89,192,0,353,1010.181818
25.61,30.59,17,88,1011,0.76,137,0,340,1009.190476
25.46,29.46,17,78,1011,0.51,0,0,300,1009.217391
25.31,28.7,17,73,1012,0.51,0,0,280,1010.304348
25.15,28.56,17,78,1011,1.13,80,0,320,1010.818182
24.23,27.57,17,83,1011,1.32,71,0,350,1011.130435
24.08,27.37,17,83,1010,1.29,58,0,360,1011.181818
23.16,26.55,17,88,1010,1.18,55,0,352,1010.652174
